# timestamp tx ty tz qx qy qz qw
0.0000 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.0330 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.0660 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.0990 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.1320 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.1650 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.1980 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.2310 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.2640 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.2970 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.3300 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.3630 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.3960 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.4290 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.4620 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.4950 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.5280 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.5610 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.5940 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.6270 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.6600 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.6930 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.7260 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.7590 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.7920 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.8250 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.8580 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.8910 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.9240 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.9570 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
0.9900 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
1.0230 0.0000 0.0000 1.2000 0.0 0.0 0.0 1.0
